Guid,Name,Type,BillingStreet,BillingCity,BillingState,BillingPostalCode,BillingCountry,BillingLatitude,BillingLongitude,BillingGeocodeAccuracy,ShippingStreet,ShippingCity,ShippingState,ShippingPostalCode,ShippingCountry,ShippingLatitude,ShippingLongitude,ShippingGeocodeAccuracy,Phone,Fax,Website,Industry,AnnualRevenue,NumberOfEmployees,Description,IsCustomerPortal,Jigsaw,AccountSource,SicDesc,ccrz__CustomField1__c,ccrz__CustomField2__c,ccrz__DataId__c,ccrz__PreventAddrBookSave__c,ccrz__PreventNewAddrCheckout__c,ccrz__PreventNewBillAddrCO__c,ccrz__SourceSystem__c,ccrz__TaxExemptAccount__c,ccrz__UsedByCloudcraze__c,SBQQ__AssetQuantitiesCombined__c,SBQQ__CoTermedContractsCombined__c,SBQQ__CoTerminationEvent__c,SBQQ__ContractCoTermination__c,SBQQ__IgnoreParentContractedPrices__c,SBQQ__PreserveBundle__c,SBQQ__PriceHoldEnd__c,SBQQ__RenewalModel__c,SBQQ__RenewalPricingMethod__c,SBQQ__TaxExempt__c,CorporateLocations__c,FranchiseLocations__c,TaxID__c,BillingEmail__c,Test_Field__c,Custom_Account_Picklist__c,trakcelstandard__c,A__c,b__c,C__c,D__c,E__c,F__c,G__c,H__c,K__c,I__c,J__c,X1__c,test__c,AAA__c

24e9f70f-c385-4e09-ac7c-95fca549c5f2,Twinder,Prospect,3000 N Sam Houston Pkwy E,Houston,TX,77032-3299,United States,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.281.871.2699,#N/A,#N/A,Technology,2.3633E10,#N/A,Systym Vitals is the leader in Technology in Houston,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,false,false,false,#N/A,false,false,false,false,#N/A,Never,false,true,#N/A,Contract Based,Same,No,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,false,false,false,false,false,false,false,false,false,#N/A,false,#N/A,#N/A
1e27a0f8-eb8c-4d92-a06d-87427627b543,Meembee,Customer,1 Canada Square,Canary Wharf,London,E14 5AJ,United Kingdom,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Healthcare,1.78663741E8,#N/A,St. Francis Hospital is the leader in Healthcare in Canary Wharf,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,false,false,false,#N/A,false,false,false,false,#N/A,Never,false,true,#N/A,Contract Based,Same,No,#N/A,#N/A,#N/A,#N/A,Test,#N/A,#N/A,#N/A,false,false,false,false,false,false,false,false,false,#N/A,false,#N/A,#N/A
cdabd1c4-7af7-4856-b85a-f914f125c256,Tagopia,Customer,1 Toyota-Cho,Tokyo,#N/A,#N/A,Japan,#N/A,#N/A,#N/A,4 Riverside Rd,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Technology,6.30331409E8,#N/A,Widget Corp is the leader in Technology,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,false,false,false,#N/A,false,false,false,false,#N/A,Never,false,true,#N/A,Contract Based,Same,No,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,false,false,false,false,false,false,false,false,false,#N/A,false,#N/A,#N/A
18849aff-d930-4d82-8b0b-19ffeb5e82c0,Blognation,Customer,1 Johnson and Johnson Plz,New Brunswick,NJ,08933-0002,United States,#N/A,#N/A,#N/A,P.O. BOX 767,Neenah,WI,54957-0767,US,#N/A,#N/A,#N/A,1.732.524.0400,#N/A,#N/A,Financial Services,7.0074E10,#N/A,Budgetworks is the leader in Financial Services in New Brunswick,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,false,false,false,#N/A,false,false,false,false,#N/A,Never,false,true,#N/A,Contract Based,Same,No,#N/A,#N/A,#N/A,#N/A,Test,#N/A,#N/A,#N/A,false,false,false,false,false,false,false,false,false,#N/A,false,#N/A,#N/A
ebcd2db4-7c06-4fdd-9cc5-4cb4582bb147,Dynabox,Prospect,28a College Rd S,Riverview,NSW,2066,Australia,#N/A,#N/A,#N/A,28a College Rd S,Riverview,NSW,2066,Australia,#N/A,#N/A,#N/A,(02) 8954 8573,#N/A,#N/A,Manufacturing,1.89091733E8,#N/A,QWERTY Logistics is the leader in Manufacturing in Riverview,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,false,false,false,#N/A,false,false,false,false,#N/A,Never,false,true,#N/A,Contract Based,Same,No,#N/A,#N/A,#N/A,#N/A,Test,#N/A,#N/A,#N/A,false,false,false,false,false,false,false,false,false,#N/A,false,#N/A,#N/A
cf03c3af-404a-4019-b160-236aae4fbfe5,Gevee,Prospect,6051 Northridge Park,Houston,TX,77240,United States,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Consulting,3317099.0,#N/A,#N/A,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,false,false,false,#N/A,false,false,false,false,#N/A,Never,false,true,#N/A,Contract Based,Same,No,#N/A,#N/A,#N/A,#N/A,Test,#N/A,#N/A,#N/A,false,false,false,false,false,false,false,false,false,#N/A,false,#N/A,#N/A
410e52c7-b9de-422c-8c64-c6476218130f,Quire,Customer,4/81 Doncaster Av,Kensington,NSW,1465,Australia,#N/A,#N/A,#N/A,4/81 Doncaster Av,Kensington,NSW,1465,Australia,#N/A,#N/A,#N/A,(02) 6721 8929,#N/A,#N/A,Healthcare,1.46231103E8,#N/A,SB North is the leader in Healthcare in Kensington,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,false,false,false,#N/A,false,false,false,false,#N/A,Never,false,true,#N/A,Contract Based,Same,No,#N/A,#N/A,#N/A,#N/A,Test,#N/A,#N/A,#N/A,false,false,false,false,false,false,false,false,false,#N/A,false,#N/A,#N/A
2be5173b-2455-4ecc-968d-e622a896cfe2,Livefish,Customer,Shell Centre,London,#N/A,SE1 7NA,United Kingdom,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Electronics,1.58331476E8,#N/A,Videlectrix is the leader in Electronics,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,false,false,false,#N/A,false,false,false,false,#N/A,Never,false,true,#N/A,Contract Based,Same,No,#N/A,#N/A,#N/A,#N/A,Test,#N/A,#N/A,#N/A,false,false,false,false,false,false,false,false,false,#N/A,false,#N/A,#N/A
cbeb6aaa-6091-4a46-8183-34c32e7a39cf,Avaveo,Customer,7601 Penn Ave S,Richfield,MN,55423-3683,United States,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.612.291.1000,#N/A,#N/A,Services,3.9528E10,#N/A,"Kustodial Services, LLC is the leader in Services in Richfield",false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,false,false,false,#N/A,false,false,false,false,#N/A,Never,false,true,#N/A,Contract Based,Same,No,#N/A,#N/A,#N/A,#N/A,Test,#N/A,#N/A,#N/A,false,false,false,false,false,false,false,false,false,#N/A,false,#N/A,#N/A
50abb216-b7d6-499c-bb6e-6c1423b2a616,Tazzy,Prospect,1000 Lowes Blvd,Mooresville,NC,28117-8520,United States,#N/A,#N/A,#N/A,P.O. BOX 1000,Mooresville,NC,28115-1000,US,#N/A,#N/A,#N/A,1.704.758.1000,#N/A,#N/A,Consumer Goods,5.9074E10,#N/A,Finley Companies is the leader in Consumer Goods in Mooresville,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,false,false,false,#N/A,false,false,false,false,#N/A,Never,false,true,#N/A,Contract Based,Same,No,#N/A,#N/A,#N/A,#N/A,Test,#N/A,#N/A,#N/A,false,false,false,false,false,false,false,false,false,#N/A,false,#N/A,#N/A
94489879-3e39-405e-97ee-314269e20b3e,Agimba,Customer,18 McMahon Dr,Ballan,VIC,3342,Australia,#N/A,#N/A,#N/A,18 McMahon Dr,Ballan,VIC,3342,Australia,#N/A,#N/A,#N/A,(03) 8664 6673,#N/A,#N/A,Apparel,5.29570951E8,#N/A,Minuteman Cafe is the leader in Apparel in Ballan,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,false,false,false,#N/A,false,false,false,false,#N/A,Never,false,true,#N/A,Contract Based,Same,No,#N/A,#N/A,#N/A,#N/A,Test,#N/A,#N/A,#N/A,false,false,false,false,false,false,false,false,false,#N/A,false,#N/A,#N/A
92dca97c-7716-40c3-9f03-2a7507dd733b,Browsetype,Customer,708 3rd Ave Rm 1500,New York,NY,10017-4108,United States,#N/A,#N/A,#N/A,708 3rd Ave Rm 1500,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.212.485.3500,#N/A,#N/A,Non Profit,3.46761E10,#N/A,First Response Relief Services is the leader in Non Profit in New York,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,false,false,false,#N/A,false,false,false,false,#N/A,Never,false,true,#N/A,Contract Based,Same,No,#N/A,#N/A,#N/A,#N/A,Test,#N/A,#N/A,#N/A,false,false,false,false,false,false,false,false,false,#N/A,false,#N/A,#N/A
bf591d28-a62b-44bc-8082-c3ef0ece3886,Camimbo,Customer,3500 Deer Creek Road,Palo Alto,CA,35265,United States,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5552652358,#N/A,#N/A,Shipping,6.524859542E9,#N/A,123 Warehousing is the leader in Shipping in Palo Alto,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,false,false,false,#N/A,false,false,false,false,#N/A,Never,false,true,#N/A,Contract Based,Same,No,#N/A,#N/A,#N/A,#N/A,Test,#N/A,#N/A,#N/A,false,false,false,false,false,false,false,false,false,#N/A,false,#N/A,#N/A
0938a1cc-70d6-4bcd-b7d7-890a7891544d,Photolist,Customer,18 Hillside Rd,Avoca Beach,NSW,2251,Australia,#N/A,#N/A,#N/A,18 Hillside Rd,Avoca Beach,NSW,2251,Australia,#N/A,#N/A,#N/A,(02) 7233 8627,#N/A,#N/A,Healthcare,4.12752795E8,#N/A,CL North is the leader in Healthcare in Avoca Beach,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,false,false,false,#N/A,false,false,false,false,#N/A,Never,false,true,#N/A,Contract Based,Same,No,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,false,false,false,false,false,false,false,false,false,#N/A,false,#N/A,#N/A
99b9aa65-92da-4d12-bdff-f1a2cf8a2923,Gabcube,Customer,140 Diagonal Rd,Warradale,SA,5046,Australia,#N/A,#N/A,#N/A,140 Diagonal Rd,Warradale,SA,5046,Australia,#N/A,#N/A,#N/A,(08) 8985 7724,#N/A,#N/A,Apparel,1.27207233E8,#N/A,Charles Townsend Agency is the leader in Apparel in Warradale,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,false,false,false,#N/A,false,false,false,false,#N/A,Never,false,true,#N/A,Contract Based,Same,No,#N/A,#N/A,#N/A,#N/A,Test,#N/A,#N/A,#N/A,false,false,false,false,false,false,false,false,false,#N/A,false,#N/A,#N/A
efde0613-0606-490f-a795-14d7f5dd98c5,Zoomcast,Prospect,1 Express Way,Saint Louis,MO,63121-1824,United States,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.314.996.0900,#N/A,#N/A,Retail,1.01752E11,#N/A,Rhapsodic AG is the leader in Retail in Saint Louis,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,false,false,false,#N/A,false,false,false,false,#N/A,Never,false,true,#N/A,Contract Based,Same,No,#N/A,#N/A,#N/A,#N/A,Test,#N/A,#N/A,#N/A,false,false,false,false,false,false,false,false,false,#N/A,false,#N/A,#N/A
8387b2ff-2279-48b7-b907-dde12c7a1f3d,Voonix,Customer,1 Procter and Gamble Plz,Cincinnati,OH,45202-3393,United States,#N/A,#N/A,#N/A,P.O. BOX 599,Cincinnati,OH,45201-0599,US,#N/A,#N/A,#N/A,1.513.983.1100,#N/A,#N/A,Consumer Goods,7.6279E10,#N/A,ADM Goods is the leader in Consumer Goods in Cincinnati,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,false,false,false,#N/A,false,false,false,false,#N/A,Never,false,true,#N/A,Contract Based,Same,No,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,false,false,false,false,false,false,false,false,false,#N/A,false,#N/A,#N/A
245a82ba-3220-4d32-8404-2b0cf11c61ba,Chatterpoint,Customer,980 Great West Road,Middlesex,London,#N/A,United Kingdom,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Healthcare,8.9244318E7,#N/A,TF South is the leader in Healthcare in Middlesex,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,false,false,false,#N/A,false,false,false,false,#N/A,Never,false,true,#N/A,Contract Based,Same,No,#N/A,#N/A,#N/A,#N/A,Test,#N/A,#N/A,#N/A,false,false,false,false,false,false,false,false,false,#N/A,false,#N/A,#N/A
db97d66d-1e0b-4e65-8b5e-b75f26a48f1d,Jaxspan,Prospect,67 Como Pde,Como,NSW,2226,Australia,#N/A,#N/A,#N/A,67 Como Pde,Como,NSW,2226,Australia,#N/A,#N/A,#N/A,(02) 6849 6177,#N/A,#N/A,Consulting,6.8846673E7,#N/A,Megadodo Publications is the leader in Consulting in Como,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,false,false,false,#N/A,false,false,false,false,#N/A,Never,false,true,#N/A,Contract Based,Same,No,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,false,false,false,false,false,false,false,false,false,#N/A,false,#N/A,#N/A
2095f251-f2c9-4527-a8be-abcac6a29ebd,Zoombox,Customer,200 George Street,Sydney,NSW,2000,Australia,#N/A,#N/A,#N/A,200 George Street,Sydney,NSW,2000,Australia,#N/A,#N/A,#N/A,(02) 8858 6163,#N/A,#N/A,Machinery,4.77757321E8,#N/A,Corellian Engineering Corporation is the leader in Machinery in Sydney,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,false,false,false,#N/A,false,false,false,false,#N/A,Never,false,true,#N/A,Contract Based,Same,No,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,false,false,false,false,false,false,false,false,false,#N/A,false,#N/A,#N/A
bd8358df-49a9-49db-956f-2f1ba5ed461e,Kwimbee,Customer,3351 Michelson Dr Ste 100,Irvine,CA,92612-0697,United States,#N/A,#N/A,#N/A,3351 Michelson Dr Ste 100,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.714.566.1000,#N/A,#N/A,Technology,4.3025852E10,#N/A,Abilitech Software Solutions is the leader in Technology in Irvine,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,false,false,false,#N/A,false,false,false,false,#N/A,Never,false,true,#N/A,Contract Based,Same,No,#N/A,#N/A,#N/A,#N/A,Test,#N/A,#N/A,#N/A,false,false,false,false,false,false,false,false,false,#N/A,false,#N/A,#N/A
0fb4f72a-97f5-4c3f-99f6-250c336a8e34,Dabtype,Prospect,5678 Victory Rd,Brighton,Colorado,80020,USA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Machinery,#N/A,#N/A,Alexa Roberts is the leader in Machinery in Brighton,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,false,false,false,#N/A,false,false,false,false,#N/A,Never,false,true,#N/A,Contract Based,Same,No,#N/A,#N/A,#N/A,#N/A,Test,#N/A,#N/A,#N/A,false,false,false,false,false,false,false,false,false,#N/A,false,#N/A,#N/A
f5d55947-3702-44f3-8eab-4c88dfdba642,Vipe,Prospect,1100 Louisiana St FL 10,Houston,TX,77002-5432,United States,#N/A,#N/A,#N/A,P.O. BOX 4324,Houston,TX,77210-4324,US,#N/A,#N/A,#N/A,1.713.381.6500,#N/A,#N/A,Healthcare,2.70279E10,#N/A,Sylvia Birungi Hospital is the leader in Healthcare in Houston,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,false,false,false,#N/A,false,false,false,false,#N/A,Never,false,true,#N/A,Contract Based,Same,No,#N/A,#N/A,#N/A,#N/A,Test,#N/A,#N/A,#N/A,false,false,false,false,false,false,false,false,false,#N/A,false,#N/A,#N/A
4ea4dbe1-6a2e-400d-aaf6-7b16d3e4addd,Twitterwire,Customer,BC V6T 1A7,Vancouver,BC,#N/A,Canada,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Services,5.0E7,#N/A,Spade and Archer is the leader in Services in BC,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,false,false,false,#N/A,false,false,false,false,#N/A,Never,false,true,#N/A,Contract Based,Same,No,#N/A,#N/A,#N/A,#N/A,Test,#N/A,#N/A,#N/A,false,false,false,false,false,false,false,false,false,#N/A,false,#N/A,#N/A
b502b5f9-e616-4de4-92d3-c0715225ebae,Meevee,Customer,2200 W Don Tyson Pkwy,Springdale,AR,72762-6901,United States,#N/A,#N/A,#N/A,P.O. BOX 2020,Springdale,AR,72765-2020,US,#N/A,#N/A,#N/A,1.479.290.4000,#N/A,#N/A,Media,4.1373E10,#N/A,Newslync is the leader in Media in Springdale,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,false,false,false,#N/A,false,false,false,false,#N/A,Never,false,true,#N/A,Contract Based,Same,No,#N/A,#N/A,#N/A,#N/A,Test,#N/A,#N/A,#N/A,false,false,false,false,false,false,false,false,false,#N/A,false,#N/A,#N/A
10f4e9b4-25b7-491c-baf8-f91fe338fe9b,Fliptune,Customer,8111 Westchester Dr # 600,Dallas,TX,75225-6142,United States,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.214.981.0700,#N/A,#N/A,Media,3.4292E10,#N/A,Mammoth Pictures is the leader in Media in Dallas,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,false,false,false,#N/A,false,false,false,false,#N/A,Never,false,true,#N/A,Contract Based,Same,No,#N/A,#N/A,#N/A,#N/A,Test,#N/A,#N/A,#N/A,false,false,false,false,false,false,false,false,false,#N/A,false,#N/A,#N/A
