Guid,AccountId,SuppliedName,SuppliedPhone,SuppliedCompany,Type,Status,Reason,Subject,Priority,Description,ClosedDate,IsEscalated,Comments,Application__c,TypeDetail__c
d3293acd-0c1a-4398-93ee-9e8c39a87cb6,106c6e97-f1b8-4550-9af5-3bb6a8581601,#N/A,#N/A,#N/A,Feature Request,Escalated,Instructions not clear,How do we restrict access?,Medium,I'd like to block access to company analytics for certain users of the Inventory Management Suite.,#N/A,false,#N/A,#N/A,#N/A
da0bd179-c4f9-40f4-9c38-65859abbf6b5,f3f54a84-6f83-4a94-bce8-066375fb1e50,#N/A,#N/A,#N/A,Feature Request,On Hold,New problem,Widgets aren't waterproof,Low,Is it possible to make our widgets waterproof?,#N/A,false,#N/A,#N/A,#N/A
6efb1442-28c8-4028-8337-0c75e7b20db9,233af7a8-6b11-434f-854a-41cc85b4c5e7,#N/A,#N/A,#N/A,Feature Request,Closed,New problem,Waterproof Widgets don’t float,Low,After we received your new waterproof widgets we noticed they didn't float. What gives?,2024-08-21T17:26:12.000Z,false,#N/A,#N/A,#N/A
7d0c06e6-ca3f-4bed-b1bd-9d4ad6446ff1,468f2883-a4a2-4df8-82ed-8d8228f9cd1e,#N/A,#N/A,#N/A,Question,Closed,User didn't attend training,Can I delete all my profiles?,Medium,I was wondering if It is possible to o delete my profiles and start from scratch?,2024-08-21T17:25:58.000Z,false,#N/A,#N/A,#N/A
5db13740-90c7-4ef6-9f99-1080c23fffc0,9d558da1-1efe-4f2d-8da5-8a3496d78d5b,#N/A,#N/A,#N/A,Problem,Rejected,New problem,Newest update cause an error,High,When I upgraded to the newest version some of my integrations broke,#N/A,false,#N/A,#N/A,#N/A
42d94592-c7cf-4ed3-a913-3636bf59a5b8,5e218fe8-7150-425f-8959-0f571da748ca,#N/A,#N/A,#N/A,Problem,Escalated,User didn't attend training,Difficulty upgrading Server*,Medium,My Server configuration is broken. Justy did an update & upgrade? What should I do?,#N/A,false,#N/A,#N/A,#N/A
06ece707-bd45-48f0-9ea9-e1ebd63e6cfb,a1d22532-27d5-4c5d-9dd8-ffbddc328fbd,#N/A,#N/A,#N/A,Feature Request,Closed,New problem,Widgets aren't waterproof,Low,Is it possible to make our widgets waterproof?,2024-08-21T17:26:03.000Z,false,#N/A,#N/A,#N/A
064101b1-ab9a-4d39-9bb4-368e69fe6dd4,318f8995-79ce-4d24-aa2f-078615f83231,#N/A,#N/A,#N/A,Feature Request,Closed,New problem,Widgets aren't waterproof,Low,Is it possible to make our widgets waterproof?,2024-08-21T17:26:05.000Z,false,#N/A,#N/A,#N/A
d4ab98d8-a889-4ddf-b0cf-45bcb7484b59,ebcd2db4-7c06-4fdd-9cc5-4cb4582bb147,#N/A,#N/A,#N/A,Question,New,User didn't attend training,Can I delete all my profiles?,Medium,I was wondering if It is possible to o delete my profiles and start from scratch?,#N/A,false,#N/A,#N/A,#N/A
f66babe9-b956-4ef9-a8da-962b27b4e761,c91c50b4-db69-485d-bd15-dffd96652dab,#N/A,#N/A,#N/A,Question,New,User didn't attend training,Can I delete all my profiles?,Medium,I was wondering if It is possible to o delete my profiles and start from scratch?,#N/A,false,#N/A,#N/A,#N/A
