Guid,Name,SBQQ__LookupField__c,SBQQ__MatchType__c,SBQQ__Operator__c,SBQQ__ParentRuleIsActive__c,SBQQ__PriceRule2__c,SBQQ__ProductRule__c,SBQQ__RuleLookupObject__c,SBQQ__RuleTargetsCalculator__c,SBQQ__TestedField__c,SBQQ__TestedObject__c,SBQQ__TestedValue__c
1e9dcace-5967-4527-969d-a37182ec0258,#N/A,Product__c,Field Value,equals,#N/A,11c71422-b7a1-4f0d-9552-9cfa1422c882,#N/A,#N/A,#N/A,SBQQ__Product__c,Quote Line,#N/A
6236fe13-14a5-44e4-aedf-6f9535bdf584,#N/A,Role__c,Field Value,equals,#N/A,073d1ccb-0055-41a0-a932-01ec788e55fc,#N/A,#N/A,#N/A,SBQQ__Product__c,Quote Line,#N/A
52c288ab-5fbf-485b-a788-784fa5411e57,#N/A,Product__c,Field Value,equals,#N/A,934a9d18-2622-40ef-8ec6-dc550ed65413,#N/A,#N/A,#N/A,SBQQ__Product__c,Quote Line,#N/A
77a3830c-e31f-404a-9bc5-754ee38272e6,#N/A,Upper_Bound_Percent__c,Field Value,less than,#N/A,be1394c8-62c4-4915-9fc7-46839cbbaeaf,#N/A,#N/A,#N/A,Discretionary_Discount_Decimal__c,Quote Line,#N/A
45dfa30c-1780-404c-a22a-3b0e3a7f11bb,#N/A,Approval_Level__c,Static Value,equals,#N/A,934a9d18-2622-40ef-8ec6-dc550ed65413,#N/A,#N/A,#N/A,#N/A,#N/A,2
f150bafc-d621-4b8a-a4d4-c682a0a71adc,#N/A,Approval_Level__c,Static Value,equals,#N/A,67b7d2bb-d43a-4b87-9674-0f69b2f90c9d,#N/A,#N/A,#N/A,#N/A,#N/A,1
5c341344-b43e-45ae-80af-c6e01688af97,#N/A,Resource_Location__c,Field Value,equals,#N/A,d2ea8536-cbf1-4c26-ad7e-5dd57ec652dc,#N/A,#N/A,#N/A,Resource_Location__c,Quote Line,#N/A
5931f816-f217-491d-9843-62a6e3029d8f,#N/A,Product__c,Field Value,equals,#N/A,23fba5ec-15ad-4667-afdc-1fc42e291eab,#N/A,#N/A,#N/A,SBQQ__Product__c,Quote Line,#N/A
57e8e302-69fe-4cdb-ac97-a7566275be0b,#N/A,Lower_Bound_Percent__c,Field Value,greater or equals,#N/A,be1394c8-62c4-4915-9fc7-46839cbbaeaf,#N/A,#N/A,#N/A,Discretionary_Discount_Decimal__c,Quote Line,#N/A
98c0149f-bb38-4124-abd7-5c9fe281ba91,#N/A,Engineering_Options__c,Field Value,equals,#N/A,79397340-309a-477a-8992-4b5c818e4425,#N/A,#N/A,#N/A,Engineering_Options__c,Quote Line,#N/A
56820151-9f0a-435a-9dfb-395e5a9858de,#N/A,Product__c,Field Value,equals,#N/A,61a02b15-ab13-4dff-873f-519c0df4e9e7,#N/A,#N/A,#N/A,SBQQ__Product__c,Quote Line,#N/A
d6d534ec-4f39-4d37-b00c-62ca8e2ab870,#N/A,Resource_Location__c,Field Value,equals,#N/A,79397340-309a-477a-8992-4b5c818e4425,#N/A,#N/A,#N/A,Resource_Location__c,Quote Line,#N/A
026f1922-6e18-4e39-b67c-650d0ff632ad,#N/A,Approval_Level__c,Static Value,equals,#N/A,6f35e2d9-5a9b-4075-83c3-69e9a04138e3,#N/A,#N/A,#N/A,#N/A,#N/A,1
a75d37b3-4e57-4923-b91f-a194d9059fc7,#N/A,Product__c,Field Value,equals,#N/A,67b7d2bb-d43a-4b87-9674-0f69b2f90c9d,#N/A,#N/A,#N/A,SBQQ__Product__c,Quote Line,#N/A
03d35bd8-fa76-4ca5-bfb9-c8869989e1fd,#N/A,Product__c,Field Value,equals,#N/A,be1394c8-62c4-4915-9fc7-46839cbbaeaf,#N/A,#N/A,#N/A,SBQQ__Product__c,Quote Line,#N/A
a6d7487c-9c91-432c-9989-a7b64b483f17,#N/A,Approval_Level__c,Static Value,equals,#N/A,b0cdcfbb-75ac-4391-8cda-23190522bcf1,#N/A,#N/A,#N/A,#N/A,#N/A,3
69bc815f-85e6-4b90-a066-dc8008ab1477,#N/A,Approval_Level__c,Static Value,equals,#N/A,b6438a7c-d1a8-4f85-9aa4-299ff077d2b8,#N/A,#N/A,#N/A,#N/A,#N/A,2
e5f4ce16-b103-4a9d-9a24-a2c03405fd0e,#N/A,Threshold_Type__c,Static Value,equals,#N/A,a2ac9be9-0ef4-4d74-bc44-b796cfe62ceb,#N/A,#N/A,#N/A,#N/A,#N/A,Discount
71c7d73a-4bdf-4796-82d8-207d1f51663c,#N/A,Product__c,Field Value,equals,#N/A,a312652e-86e6-484c-b3e5-8875509d2c16,#N/A,#N/A,#N/A,SBQQ__Product__c,Quote Line,#N/A
c7b68f3b-b4df-47eb-a062-b3c3fffa495e,#N/A,Product__c,Field Value,equals,#N/A,6f35e2d9-5a9b-4075-83c3-69e9a04138e3,#N/A,#N/A,#N/A,SBQQ__Product__c,Quote Line,#N/A
b26a7d25-944b-44f3-a372-2260bd7c6c7a,#N/A,Upper_Bound_Percent__c,Field Value,less than,#N/A,11c71422-b7a1-4f0d-9552-9cfa1422c882,#N/A,#N/A,#N/A,Discretionary_Discount_Decimal__c,Quote Line,#N/A
253bc1a8-a79e-46ef-800a-9b7768e194ed,#N/A,Role__c,Field Value,equals,#N/A,79397340-309a-477a-8992-4b5c818e4425,#N/A,#N/A,#N/A,SBQQ__Product__c,Quote Line,#N/A
a0b7745c-01d9-4ea7-b5e0-452d6b4ff39d,#N/A,Lower_Bound_Percent__c,Field Value,greater or equals,#N/A,c3a4307f-7791-4a44-9cf3-8b174e669de4,#N/A,#N/A,#N/A,Discretionary_Discount_Decimal__c,Quote Line,#N/A
fa011f8d-cca4-431e-8099-71c625156121,#N/A,Product__c,Field Value,equals,#N/A,b6438a7c-d1a8-4f85-9aa4-299ff077d2b8,#N/A,#N/A,#N/A,SBQQ__Product__c,Quote Line,#N/A
73ad3cd6-46e4-42af-b69b-a0e45de0ef4b,#N/A,Engineering_Options__c,Field Value,equals,#N/A,e29d5839-de13-4e26-b762-5f9916c2357b,#N/A,#N/A,#N/A,Engineering_Options__c,Quote Line,#N/A
c464a550-f045-4f4f-b969-aa33b6605096,#N/A,Product__c,Field Value,equals,#N/A,d1a8b364-2102-4a67-a686-02ea0ec7f554,#N/A,#N/A,#N/A,SBQQ__Product__c,Quote Line,#N/A
77e17977-b2d9-471c-ba94-1a066ec5e93f,#N/A,Product__c,Field Value,equals,#N/A,2a26567f-326f-4311-8f87-24c2b4aefef0,#N/A,#N/A,#N/A,SBQQ__Product__c,Quote Line,#N/A
dd3c9e2a-cdca-4dc9-8c09-95651f4cc4f1,#N/A,Resource_Location__c,Field Value,equals,#N/A,073d1ccb-0055-41a0-a932-01ec788e55fc,#N/A,#N/A,#N/A,Resource_Location__c,Quote Line,#N/A
33840542-a558-4916-b321-b6ec57842099,#N/A,Threshold_Type__c,Static Value,equals,#N/A,11c71422-b7a1-4f0d-9552-9cfa1422c882,#N/A,#N/A,#N/A,#N/A,#N/A,Discount
78a93f6f-741a-436d-8853-94143c7f60be,#N/A,Product__c,Field Value,equals,#N/A,c3a4307f-7791-4a44-9cf3-8b174e669de4,#N/A,#N/A,#N/A,SBQQ__Product__c,Quote Line,#N/A
1c973512-17a1-4752-9e57-87f2128db1ab,#N/A,Engineering_Options__c,Field Value,equals,#N/A,d2ea8536-cbf1-4c26-ad7e-5dd57ec652dc,#N/A,#N/A,#N/A,Engineering_Options__c,Quote Line,#N/A
a4cc609b-28cb-4fb8-b32d-e4aee4aaf018,#N/A,Role__c,Field Value,equals,#N/A,d2ea8536-cbf1-4c26-ad7e-5dd57ec652dc,#N/A,#N/A,#N/A,SBQQ__Product__c,Quote Line,#N/A
2105cd27-2787-4c80-a687-29a04616625a,#N/A,Threshold_Type__c,Static Value,equals,#N/A,c3a4307f-7791-4a44-9cf3-8b174e669de4,#N/A,#N/A,#N/A,#N/A,#N/A,Discount
5e58e53d-44f3-4b24-9dc0-b4d701e99e63,#N/A,Approval_Level__c,Static Value,equals,#N/A,a312652e-86e6-484c-b3e5-8875509d2c16,#N/A,#N/A,#N/A,#N/A,#N/A,2
346c69ac-5c2d-4c03-9917-9137588a359b,#N/A,Product__c,Field Value,equals,#N/A,a2ac9be9-0ef4-4d74-bc44-b796cfe62ceb,#N/A,#N/A,#N/A,SBQQ__Product__c,Quote Line,#N/A
373cc6dd-bc97-41dd-b182-6f238b3b5bb8,#N/A,Approval_Level__c,Static Value,equals,#N/A,d1a8b364-2102-4a67-a686-02ea0ec7f554,#N/A,#N/A,#N/A,#N/A,#N/A,1
