Guid,Name,SBQQ__Rule__c,SBQQ__Field__c,SBQQ__Formula__c,SBQQ__Order__c,SBQQ__ParentRuleIsActive__c,SBQQ__RuleLookupObject__c,SBQQ__RuleTargetsCalculator__c,SBQQ__SourceLookupField__c,SBQQ__SourceVariable__c,SBQQ__TargetObject__c,SBQQ__ValueField__c,SBQQ__Value__c
daa735fa-4660-45a4-bf8f-ce556f24656e,#N/A,d8f35116-9536-4ddb-a83b-c80f47683714,SBQQ__Quantity__c,SBQQ__ProductOption__r.Protected_Devices__c,1.0,#N/A,#N/A,#N/A,#N/A,#N/A,Product Option,#N/A,#N/A
3e2c7ab9-0e73-46af-b966-d05aae3c81c2,#N/A,517ad32a-a4ba-422b-a0ef-3ddb2547fd77,SBQQ__Quantity__c,SBQQ__ProductOption__r.Protected_Devices__c,1.0,#N/A,#N/A,#N/A,#N/A,#N/A,Product Option,#N/A,#N/A
f5fcd3bc-7c5e-4412-ba42-dadd1ddf11af,#N/A,11c71422-b7a1-4f0d-9552-9cfa1422c882,Discretionary_Discount_Percent__c,"100.0 * if( SBQQ__RegularPrice__c =0, 0, ( SBQQ__NetPrice__c -SBQQ__RegularPrice__c)/(-1.0 * SBQQ__RegularPrice__c))",1.0,#N/A,#N/A,#N/A,#N/A,#N/A,Quote Line,#N/A,#N/A
3b6de25a-e4a8-45f3-8f11-0dfaab43fe3c,#N/A,d6f06237-06d6-41b6-8e74-56831796435b,Discount (%),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Quote Line,#N/A,45
11b5d6ca-ef1c-407b-a96e-0aa3f3483c72,#N/A,7236d4c1-763b-4e69-9c81-c604c926b9c4,Discount (%),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Quote Line,#N/A,45
1ec4b27a-82f6-4d06-b871-46b09333feaa,#N/A,2c0708db-2471-4881-9ac7-fee6703f1ffb,SBQQ__TaxCode__c,"IF( SBQQ__Quote__r.Calculate_Tax__c = True && SBQQ__Quote__r.SBQQ__BillingCountry__c = ""United States"", ""A234"", 
IF( SBQQ__Quote__r.Calculate_Tax__c = True && SBQQ__Quote__r.SBQQ__BillingCountry__c = ""United Kingdom"", ""B567"", 
""A000""))",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Quote Line,#N/A,#N/A
1642e871-0525-4b13-834d-5f4a19158db4,#N/A,dc18dc25-81f0-4dca-8f36-476af09887e2,Discretionary_Discount_Decimal__c,"if( SBQQ__RegularPrice__c =0, 0, ( SBQQ__NetPrice__c -SBQQ__RegularPrice__c)/(-1.0 * SBQQ__RegularPrice__c))",2.0,#N/A,#N/A,#N/A,#N/A,#N/A,Quote Line,#N/A,#N/A
6ec8c125-2666-4a2b-8b64-b4471dcaaff2,#N/A,e0d5bca6-03da-49be-a1a6-66a9f6cd7409,Discount (%),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Quote Line,#N/A,20
383a03e3-923d-446d-96fa-30f098312c7d,#N/A,4b960207-1fb6-4f91-b578-d2d6aa6e5bd7,SBQQ__Quantity__c,Protected_Devices__c,1.0,#N/A,#N/A,#N/A,#N/A,#N/A,Quote Line,#N/A,#N/A
17e1a543-2668-453f-aeb6-dc2970bcbedb,#N/A,c64db460-5b31-45c1-949e-9ad5ca08ba8a,Unit Price,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Product Option,#N/A,123
