Guid,Name,SBQQ__Rule__c,SBQQ__Field__c,SBQQ__FilterFormula__c,SBQQ__FilterType__c,SBQQ__FilterVariable__c,SBQQ__Index__c,SBQQ__Object__c,SBQQ__Operator__c,SBQQ__ParentRuleIsActive__c,SBQQ__RuleTargetsCalculator__c,SBQQ__TestedFormula__c,SBQQ__TestedVariable__c,SBQQ__Value__c
8f0623fe-8901-4a00-bdcb-c2ec386afba9,#N/A,11c71422-b7a1-4f0d-9552-9cfa1422c882,SBQQ__Product__c,#N/A,Value,#N/A,#N/A,Quote Line,not equals,#N/A,#N/A,#N/A,#N/A,#N/A
c51a66c0-8ecf-44ab-bb66-1defc61f5875,#N/A,b6438a7c-d1a8-4f85-9aa4-299ff077d2b8,SBQQ__Product__c,#N/A,Value,#N/A,#N/A,Quote Line,not equals,#N/A,#N/A,#N/A,#N/A,#N/A
197ab221-7c97-465c-91a8-01bebf3c0d5f,#N/A,c9e3e345-b2e8-4cbc-818e-1311a7f0bcfb,Product Code,#N/A,Value,#N/A,444.0,Quote Line,equals,#N/A,#N/A,#N/A,#N/A,EP-025
bd166326-563f-4d33-adec-51b047a63ac9,#N/A,934a9d18-2622-40ef-8ec6-dc550ed65413,SBQQ__Product__c,#N/A,Value,#N/A,#N/A,Quote Line,not equals,#N/A,#N/A,#N/A,#N/A,#N/A
4947b670-17a6-4514-a4cc-86aa11e2a9a7,#N/A,5cf242e6-c493-4201-b9a4-28d2c404baca,Product Code,#N/A,Value,#N/A,#N/A,Quote Line,not equals,#N/A,#N/A,#N/A,#N/A,fdhfvu6578
5c566111-e005-422f-8f49-de1eabce803b,#N/A,8ee537a7-ef01-494c-a7ce-7e41484ac90e,Protected_Devices__c,#N/A,Value,#N/A,#N/A,Product Option,greater than,#N/A,#N/A,#N/A,#N/A,0
a24c9861-21f1-4af4-866c-a4ce38386f28,#N/A,56fb64c8-d261-425e-8275-313cc25048cf,Product Code,#N/A,Value,#N/A,333.0,Product Option,equals,#N/A,#N/A,#N/A,#N/A,EP-015
10a31c3e-f6e8-4180-92c6-77ee42a210ac,#N/A,6d808a48-b9f4-485d-998c-722e4a176ca6,SBQQ__ProductCode__c,#N/A,Value,#N/A,#N/A,Product Option,equals,#N/A,#N/A,#N/A,#N/A,EP-013
b332209d-3e4c-4ab1-bb00-7914dac969ef,#N/A,c843c80e-2487-4db3-99a0-61fdddc05705,Product Code,#N/A,Value,#N/A,#N/A,Quote Line,not equals,#N/A,#N/A,#N/A,#N/A,fdhfvu6578
6f028bcc-c995-45d0-a0e4-162e65563e58,#N/A,c9e3e345-b2e8-4cbc-818e-1311a7f0bcfb,Product Code,#N/A,Value,#N/A,222.0,Quote Line,equals,#N/A,#N/A,#N/A,#N/A,EP-014
ac0141ea-7f17-4d03-a78a-e12db69c7453,#N/A,e94e35a4-5d7d-4990-aa6c-13cb9e9f70b8,Protected_Devices__c,#N/A,Value,#N/A,#N/A,Product Option,greater than,#N/A,#N/A,#N/A,#N/A,0
d2644515-b792-4092-8154-b563a63dc868,#N/A,d2af865d-3b7b-45a3-8b12-f8e69a78a1a8,Product Code,#N/A,Value,#N/A,444.0,Product Option,equals,#N/A,#N/A,#N/A,#N/A,EP-025
a568246a-279b-4209-bdbd-f3eb113cf597,#N/A,70a96d75-7faf-4998-aa90-f30e878e94d7,Product Code,#N/A,Value,#N/A,#N/A,Quote Line,not equals,#N/A,#N/A,#N/A,#N/A,Run-on-all-quotelines
a58dc46c-d300-4f4b-9e8c-38dc3047feab,#N/A,8606057a-5e82-4275-8d01-4f8896ea9036,Product Code,#N/A,Value,#N/A,#N/A,Quote Line,not equals,#N/A,#N/A,#N/A,#N/A,Run-on-all-quotelines
8a73c169-0f2b-440d-a344-588b6f98277a,#N/A,56fb64c8-d261-425e-8275-313cc25048cf,Product Code,#N/A,Value,#N/A,444.0,Product Option,equals,#N/A,#N/A,#N/A,#N/A,EP-025
0f76229a-3e33-4519-8b98-3af8dc1de6ff,#N/A,baa364d4-6f37-430a-a6a3-e35fbfe479e7,Product Code,#N/A,Value,#N/A,222.0,Quote Line,equals,#N/A,#N/A,#N/A,#N/A,EP-014
f3c4efcc-f16f-4307-b846-ce76d9d2e589,#N/A,063d1e4c-31f2-41f5-84df-9ac1a13571b9,Product Code,#N/A,Value,#N/A,444.0,Quote Line,equals,#N/A,#N/A,#N/A,#N/A,EP-025
abb190ac-89f7-47d1-bf76-362a185e4862,#N/A,97ae2ad4-5307-41e3-9720-d4dd268a382d,Product Code,#N/A,Value,#N/A,#N/A,Quote Line,equals,#N/A,#N/A,#N/A,#N/A,WDCHIP
3a70b215-95e8-4203-8d09-bfb454c58ac7,#N/A,885c21a8-ef06-4ce1-8adb-c5cad773c71c,Product Code,#N/A,Value,#N/A,222.0,Product Option,equals,#N/A,#N/A,#N/A,#N/A,EP-014
0fa8f0d7-0711-452d-92ab-beccc46c8b15,#N/A,1958f15e-0876-4c33-8204-227f895772db,Product Code,#N/A,Value,#N/A,#N/A,Product Option,equals,#N/A,#N/A,#N/A,#N/A,00000
b7a7cf86-386b-4959-a09a-889188cd0cc2,#N/A,063d1e4c-31f2-41f5-84df-9ac1a13571b9,Product Code,#N/A,Value,#N/A,222.0,Quote Line,equals,#N/A,#N/A,#N/A,#N/A,EP-014
bd690c2c-0d5a-461b-9811-9d088df86e64,#N/A,c64db460-5b31-45c1-949e-9ad5ca08ba8a,Product Code,#N/A,Value,#N/A,#N/A,Quote,not equals,#N/A,#N/A,#N/A,#N/A,123
8fbb1f1f-ada0-47f9-b453-301cf1459194,#N/A,56fb64c8-d261-425e-8275-313cc25048cf,SBQQ__Type__c,#N/A,Value,#N/A,111.0,Quote,equals,#N/A,#N/A,#N/A,#N/A,Quote
9b72cccf-c533-470a-9f91-82647f576e1d,#N/A,a312652e-86e6-484c-b3e5-8875509d2c16,SBQQ__Product__c,#N/A,Value,#N/A,#N/A,Quote Line,not equals,#N/A,#N/A,#N/A,#N/A,#N/A
